#{"t_start": 1686392103.6238568, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
95.0,6021,12360.726792
122.0,5634,12422.311598
72.0,4644,12473.308283
35.0,3191,12507.635874
272.0,6415,12577.118338
134.0,6826,12651.320918
122.0,6581,12722.709729
305.0,6630,12794.53099
176.0,7927,12880.976003
287.0,6081,12947.076608
169.0,7784,13031.857288
107.0,6435,13101.970727
85.0,5725,13164.211633
59.0,4469,13212.563321
274.0,7964,13299.010756
147.0,5267,13356.022862
199.0,6212,13423.080178
231.0,7531,13505.15704
87.0,6218,13572.959659
61.0,5369,13631.260346
112.0,5916,13695.364185
85.0,5621,13756.426505
99.0,5211,13812.827747
52.0,3633,13851.697811
72.0,5583,13912.24905
333.0,7683,13996.104472
264.0,6274,14064.34775
123.0,6221,14132.109144
55.0,4624,14182.373288
247.0,6374,14251.583903
112.0,5821,14315.268025
75.0,4411,14363.170516
264.0,7058,14440.493932
103.0,6280,14509.167379
113.0,6650,14582.00869
116.0,5030,14637.008854
130.0,6503,14708.633052
137.0,6545,14780.457736
71.0,6009,14846.554356
149.0,6930,14922.668122
157.0,5952,14988.047614
265.0,6875,15063.594224
90.0,6392,15133.766165
381.0,5047,15188.856723
10.0,1911,15209.54343
11.0,1099,15221.228912
6.0,1402,15236.170344
111.0,5276,15294.00187
39.0,4469,15342.65295
168.0,6260,15411.455256
100.0,7096,15489.375353
41.0,4178,15535.154329
0.0,524,15540.382361
14.0,1402,15555.490623
233.0,6194,15623.611077
284.0,7494,15705.853258
102.0,5585,15766.713795
184.0,8406,15859.324888
309.0,5583,15920.74479
63.0,5171,15977.692649
199.0,7529,16060.554413
174.0,7577,16144.328521
387.0,9032,16243.167728
119.0,6172,16310.303979
101.0,4808,16362.309555
290.0,8467,16454.635164
60.0,3520,16492.797547
263.0,6659,16565.049198
251.0,6051,16630.831809
163.0,7390,16711.128783
108.0,6382,16780.51075
316.0,8052,16868.271152
290.0,7296,16948.167418
165.0,7884,17034.159497
370.0,8301,17125.213516
134.0,5878,17188.971265
251.0,7344,17268.954444
293.0,7263,17347.990788
379.0,7440,17429.133724
53.0,5363,17487.471884
389.0,7997,17574.344481
128.0,5877,17638.179544
58.0,4633,17688.18836
75.0,5003,17742.321445
52.0,4019,17785.857766
177.0,7816,17872.306134
197.0,7478,17953.343195
297.0,9029,18051.642457
415.0,8279,18142.186934
97.0,4198,18187.721598
122.0,6829,18261.861339
89.0,4069,18305.949311
60.0,5181,18362.171456
111.0,6392,18431.742137
71.0,4278,18478.19907
284.0,7924,18564.630136
254.0,7915,18650.845495
272.0,6715,18724.059651
405.0,8228,18813.746488
17.0,2616,18841.982686
0.0,531,18847.207929
0.0,539,18852.433718
0.0,522,18857.667665
0.0,535,18862.912339
0.0,518,18868.177619
0.0,538,18873.401706
11.0,1091,18885.109312
11.0,1095,18896.74669
0.0,534,18901.950635
11.0,1111,18913.589236
0.0,518,18918.808369
0.0,543,18924.018718
11.0,1091,18935.69034
0.0,515,18940.898119
0.0,515,18946.131136
11.0,1111,18957.791172
11.0,1095,18969.495254
11.0,1091,18981.162228
0.0,536,18986.370283
0.0,528,18991.550342
0.0,536,18996.766945
0.0,515,19001.996486
0.0,518,19007.223052
0.0,536,19012.476569
0.0,515,19017.688887
0.0,535,19022.881474
0.0,524,19028.099354
0.0,514,19033.308012
0.0,523,19038.477945
0.0,530,19043.718381
11.0,1091,19055.304699
0.0,527,19060.525796
0.0,516,19065.766392
0.0,519,19070.979861
11.0,1111,19082.628809
11.0,1087,19094.19257
11.0,1087,19105.986132
0.0,523,19111.21347
0.0,518,19116.402659
0.0,528,19121.619825
0.0,532,19126.85675
0.0,542,19132.098543
0.0,539,19137.317337
0.0,540,19142.498872
0.0,534,19147.728274
0.0,516,19152.938165
11.0,1111,19164.519767
0.0,524,19169.745893
11.0,1091,19181.335691
0.0,538,19186.564925
0.0,539,19191.785351
0.0,532,19196.992801
0.0,528,19202.218564
0.0,536,19207.413182
11.0,1111,19219.063382
0.0,516,19224.340394
11.0,1103,19236.087188
0.0,522,19241.275881
0.0,543,19246.591139
0.0,528,19251.914229
0.0,527,19257.229824
0.0,540,19262.507396
0.0,536,19267.711932
0.0,526,19272.922117
0.0,530,19278.129881
0.0,515,19283.359166
11.0,1091,19295.058102
0.0,523,19300.242394
0.0,523,19305.475109
11.0,1099,19317.144518
0.0,520,19322.357093
0.0,515,19327.577407
0.0,515,19332.797411
0.0,536,19338.023672
0.0,519,19343.262592
0.0,520,19348.500915
11.0,1087,19360.062122
0.0,540,19365.266571
0.0,514,19370.473043
0.0,540,19375.675279
11.0,1091,19387.30975
0.0,526,19392.530894
11.0,1091,19404.145489
0.0,535,19409.350133
0.0,530,19414.5841
0.0,543,19419.800119
11.0,1099,19431.520575
0.0,518,19436.730801
0.0,543,19441.973215
0.0,542,19447.227521
